date,close,open,high,low,volume
2021-03-12,57225.91,57820.15,58065.92,55050.00,55689944702
2021-03-13,61178.50,57220.84,61788.45,56083.74,60669829814
2021-03-14,58972.70,61181.38,61680.00,58950.00,43901225564
2021-03-15,55636.15,58972.71,60601.07,54568.00,66419369890
2021-03-16,56927.11,55629.08,56970.00,53221.00,59749798599
2021-03-17,58925.54,56924.26,58996.38,54138.01,60258313191
2021-03-18,57644.95,58925.54,60100.00,56996.15,55746041000
2021-03-19,58039.66,57644.95,59461.99,56260.00,49063873786
2021-03-20,58116.70,58026.91,59928.00,57827.97,50361731222
2021-03-21,57363.32,58126.34,58651.22,55543.89,51943414539
2021-03-22,54110.07,57377.29,58421.68,53739.50,56521454974
2021-03-23,54345.54,54111.49,55858.00,53000.00,56435023914
2021-03-24,52276.16,54333.27,57209.97,51673.82,70567223787
2021-03-25,51325.01,52259.69,53238.00,50305.00,67999812841
2021-03-26,55072.44,51320.76,55125.13,51250.00,56652197978
2021-03-27,55856.53,55080.90,56640.00,53966.00,47266542233
2021-03-28,55778.82,55856.54,56587.08,54701.00,47686580918
2021-03-29,57613.48,55781.22,58400.00,54900.00,57625587027
2021-03-30,58786.46,57613.76,59397.48,57000.00,54414116432
2021-03-31,58800.00,58786.46,59800.00,56873.80,65520826225
2021-04-01,58726.48,58800.01,59474.94,57930.00,61669163792
2021-04-02,58981.04,58726.47,60055.02,58441.88,58727860620
2021-04-03,57094.34,58981.04,59752.00,56943.00,59641344484
2021-04-04,58215.94,57094.34,58500.00,56478.53,50749662970
2021-04-05,59123.02,58216.73,59251.76,56817.64,60706272115
2021-04-06,58019.98,59134.07,59475.00,57333.33,66058027988
2021-04-07,55955.75,58021.67,58630.00,55400.00,75645303584
2021-04-08,58083.10,55962.67,58152.00,55700.00,53053855641
2021-04-09,58092.68,58083.10,58869.69,57670.51,46655208546
2021-04-10,59778.60,58092.68,61218.97,57875.41,58238470525
2021-04-11,59985.26,59778.59,60658.89,59177.06,46280252580
2021-04-12,59839.82,59983.66,61199.00,59369.00,51828688519
2021-04-13,63588.22,59836.88,63774.39,59799.01,69983454362
2021-04-14,62971.80,63588.22,64899.00,61277.91,77451779687
2021-04-15,63229.04,62971.80,63831.82,62036.73,60954381579
2021-04-16,61427.27,63229.04,63604.34,60048.43,84293007468
2021-04-17,60058.86,61427.27,62572.48,59700.00,66138759198
2021-04-18,56274.41,60067.20,60437.97,51300.00,97468872758
2021-04-19,55696.83,56273.65,57600.00,54187.85,65344865159
2021-04-20,56499.29,55696.83,57111.00,53430.01,67849323955
2021-04-21,53800.86,56477.67,56810.56,53620.91,54926612466
2021-04-22,51701.59,53795.62,55469.98,50400.00,74798630778
2021-04-23,51187.27,51695.98,52130.58,47464.65,86668667320
2021-04-24,50089.15,51187.75,51260.61,48726.87,49014494781
2021-04-25,49121.00,50101.42,50591.38,47044.01,46117114240
2021-04-26,54053.60,49121.00,54400.00,48817.62,58284039825
2021-04-27,55069.62,54047.80,55509.39,53321.00,49448222757
2021-04-28,54894.03,55069.61,56476.17,53887.00,48000572955
2021-04-29,53580.00,54889.81,55226.86,52369.61,46088929780
2021-04-30,57798.77,53580.00,58075.01,53068.43,52395931985
2021-05-01,57859.28,57798.77,58550.00,57050.94,42836427360
2021-05-02,56625.20,57859.28,57972.26,56072.00,38177405335
2021-05-03,57212.73,56625.21,58986.00,56500.00,51713139031
2021-05-04,53241.92,57212.73,57247.24,53057.70,68564706967
2021-05-05,57515.69,53241.91,57980.86,52913.02,69241316747
2021-05-06,56440.66,57515.69,58400.00,55288.00,69523285106
2021-05-07,57380.39,56444.82,58735.95,55300.00,68434023376
2021-05-08,58958.05,57380.39,59559.84,56980.01,65382980634
2021-05-09,58312.57,58958.06,59300.52,56265.30,65906690347
2021-05-10,55866.41,58313.84,59592.20,53600.00,71776546298
2021-05-11,56753.19,55866.38,56962.07,54511.48,61308396325
2021-05-12,49498.77,56753.19,58041.00,48500.00,75215403907
2021-05-13,49690.11,49498.76,52500.00,46000.00,96721152926
2021-05-14,49893.48,49682.28,51569.56,48895.00,55737497453
2021-05-15,46775.51,49893.48,50730.58,46573.00,59161047474
2021-05-16,46450.79,46771.01,49808.28,43825.00,64047871555
2021-05-17,43580.50,46450.78,46646.15,42101.00,74903638450
2021-05-18,42857.15,43571.89,45851.00,42300.00,56187365084
2021-05-19,36731.75,42865.05,43591.70,30000.00,126358000000
2021-05-20,40623.33,36735.44,42605.00,35000.00,88281943359
2021-05-21,37340.77,40623.24,42275.99,33501.54,82051616861
2021-05-22,37476.83,37333.09,38889.76,35257.52,57377273240
2021-05-23,34758.67,37476.84,38319.36,31111.00,78469274361
2021-05-24,38878.56,34758.88,39966.87,34407.17,67359584098
2021-05-25,38361.81,38874.53,39878.51,36481.26,56211915803
2021-05-26,39293.23,38361.81,40900.00,37837.36,51346735160
2021-05-27,38556.88,39293.23,40440.95,37191.99,43210968721
2021-05-28,35680.47,38556.88,38900.00,34688.00,55200191952
2021-05-29,34627.82,35680.48,37325.00,33650.86,45231013335
2021-05-30,35669.44,34627.81,36500.00,33333.00,31646080921
2021-05-31,37279.31,35669.44,37534.09,34183.00,39009847639
2021-06-01,36685.00,37276.23,37918.97,35669.14,34639423297
2021-06-02,37577.91,36684.99,38237.37,35920.00,33070867190
2021-06-03,39248.55,37581.83,39489.82,37184.88,35460750427
2021-06-04,36856.52,39248.54,39291.24,35593.22,41831090187
2021-06-05,35539.49,36856.53,37921.35,34832.17,35959473399
2021-06-06,35800.48,35539.97,36477.86,35258.00,28913440585
2021-06-07,33575.91,35800.48,36812.39,33333.00,33683936663
2021-06-08,33402.13,33567.26,34069.00,31004.95,49902050442
2021-06-09,37403.86,33402.13,37573.99,32408.53,53972919008
2021-06-10,36694.05,37404.75,38425.67,35800.00,43576032854
2021-06-11,37338.44,36694.91,37695.00,35944.00,38699736985
2021-06-12,35557.33,37340.08,37448.00,34635.47,37924228550
2021-06-13,39015.24,35557.32,39396.00,34780.57,40669112838
2021-06-14,40539.47,39015.24,41076.03,38744.83,43148914673
2021-06-15,40162.37,40537.93,41322.55,39510.98,46420149185
2021-06-16,38351.00,40158.06,40499.00,38105.00,39211635100
2021-06-17,38095.17,38351.00,39554.98,37365.63,37096670047
2021-06-18,35841.81,38103.94,38216.22,35153.16,36200887275
2021-06-19,35484.79,35840.96,36457.18,34833.26,31207279719
2021-06-20,35585.78,35484.80,36139.73,33347.05,36664034054
2021-06-21,31609.82,35585.79,35741.54,31259.00,52809038594
2021-06-22,32538.37,31609.82,33352.00,28800.00,58964353058
2021-06-23,33688.35,32538.90,34881.02,31708.03,46317108925
2021-06-24,34654.58,33688.51,35295.67,32300.00,33123368116
